condition,pic_response,trials.thisN,loop_eval_discri.thisN,loop_discri.thisRepN,discrimin_resp.rt,actual_trial,accuracy,reaction_time,reaction_time_good,reaction_time_bad,participant,exclude
active,0.5,0.5,1.5625,1.5,0.5610243812499789,16.5625,1.0,0.5610243812499789,0.5610243812499789,,sub-007,0
inactive,0.5625,0.5,1.4375,1.5,0.5425068624996356,16.4375,0.9375,0.5425068624996356,0.5188786799996402,0.8969295999995666,sub-007,0
active,0.9375,0.5,1.5625,1.5,0.41482758124948305,16.5625,0.5625,0.41482758124948305,0.436904955553473,0.3864423857157817,sub-010,0
inactive,0.75,0.5,1.4375,1.5,0.48317380625121586,16.4375,0.75,0.48317380625121586,0.5069381500009816,0.41188077500191866,sub-010,0
active,0.8125,0.5,1.375,1.5,1.1308239312566002,16.375,0.6875,1.1308239312566002,1.08361398183148,1.2346858199918642,sub-012,0
inactive,0.625,0.5,1.625,1.5,1.1490887687541544,16.625,0.75,1.1490887687541544,1.13754970835483,1.1837059499521274,sub-012,0
active,0.9375,0.5,1.75,1.5,1.105997712496901,16.75,0.5625,1.105997712496901,1.153312011104491,1.0451650428585708,sub-014,0
inactive,0.7857142857142857,0.5714285714285714,1.2142857142857142,1.3571428571428572,1.3596882000066606,17.071428571428573,0.5714285714285714,1.3596882000066606,1.3645180124876788,1.3532484500319697,sub-014,0
active,0.5333333333333333,0.4666666666666667,1.2666666666666666,1.5333333333333334,0.5039729666663334,15.866666666666667,1.0,0.5039729666663334,0.5039729666663334,,sub-016,0
inactive,0.75,0.5,1.625,1.5,0.5582950812677154,16.625,0.75,0.5582950812677154,0.4819275416860667,0.7873977000126615,sub-016,0
active,0.4375,0.5,1.5,1.5,0.47152863748488016,16.5,0.8125,0.47152863748488016,0.3684320230699646,0.9182806332828477,sub-018,0
inactive,0.5625,0.5,1.5,1.5,0.37632744372967863,16.5,0.8125,0.37632744372967863,0.3480118692118245,0.49902826664038,sub-018,0
active,0.375,0.5,1.5625,1.5,0.6004890812498616,16.5625,0.875,0.6004890812498616,0.5489339142856936,0.9613752499990369,sub-021,0
inactive,0.375,0.5,1.4375,1.5,0.749743768749795,16.4375,0.75,0.749743768749795,0.6562410166664753,1.0302520249997542,sub-021,0
active,0.4375,0.5,1.5,1.5,0.948062968767772,16.5,0.9375,0.948062968767772,0.9415050533522541,1.0464317000005394,sub-023,0
inactive,0.5625,0.5,1.5,1.5,0.8369231124961516,16.5,0.8125,0.8369231124961516,0.8610495999992753,0.7323749999826153,sub-023,0
active,0.5,0.5,1.5625,1.5,0.46709150623792084,16.5625,1.0,0.46709150623792084,0.46709150623792084,,sub-024,0
inactive,0.4375,0.5,1.4375,1.5,0.5604503249924164,16.4375,0.9375,0.5604503249924164,0.5360437533197303,0.9265489000827074,sub-024,0
active,0.5625,0.5,1.5625,1.5,0.6702635937472223,16.5625,0.9375,0.6702635937472223,0.6586219599936157,0.8448881000513211,sub-025,0
inactive,0.5,0.5,1.4375,1.5,0.7955831875078729,16.4375,0.625,0.7955831875078729,0.7080222500138916,0.9415180833311751,sub-025,0
active,0.4375,0.5,1.375,1.5,0.4369306875014445,16.375,0.6875,0.4369306875014445,0.39079639089124446,0.5384261400438846,sub-026,0
inactive,0.3125,0.5,1.625,1.5,0.5650020687535289,16.625,0.6875,0.5650020687535289,0.6172245818253775,0.4501125399954617,sub-026,0
active,0.5625,0.5,1.375,1.5,1.1153462437650887,16.375,0.9375,1.1153462437650887,1.0488831133504088,2.112293199985288,sub-027,0
inactive,0.5,0.5,1.625,1.5,0.9489097125042463,16.625,1.0,0.9489097125042463,0.9489097125042463,,sub-027,0
active,0.6875,0.5,1.75,1.5,0.456987362493237,16.75,0.8125,0.456987362493237,0.4511336538439187,0.48235343330694985,sub-028,0
inactive,0.5,0.5,1.25,1.5,0.767817318723246,16.25,0.625,0.767817318723246,0.5851251199608669,1.0723043166605446,sub-028,0
active,0.4375,0.5,1.3125,1.5,1.257651462496142,16.3125,0.9375,1.257651462496142,1.1991944266638408,2.1345069999806583,sub-030,0
inactive,0.5,0.5,1.6875,1.5,1.1520914749708027,16.6875,0.875,1.1520914749708027,1.131567828540158,1.295756999985315,sub-030,0
active,0.8125,0.5,1.375,1.5,0.9268947687523905,16.375,0.6875,0.9268947687523905,0.7615033363584768,1.2907559200190009,sub-031,0
inactive,0.5625,0.5,1.625,1.5,1.010416931239888,16.625,0.9375,1.010416931239888,1.042247326656555,0.5329609999898821,sub-031,0
active,0.625,0.5,1.3125,1.5,1.2343418562231818,16.3125,0.625,1.2343418562231818,1.1808016499504448,1.3235755333444104,sub-032,0
inactive,0.5625,0.5,1.6875,1.5,1.2222285312309396,16.6875,0.6875,1.2222285312309396,1.2291211000093343,1.207064879918471,sub-032,0
active,0.5,0.5,1.75,1.5,0.4472336125327274,16.75,1.0,0.4472336125327274,0.4472336125327274,,sub-035,0
inactive,0.4375,0.5,1.25,1.5,0.5268462563399225,16.25,0.9375,0.5268462563399225,0.5244500467864176,0.5627893996424973,sub-035,0
active,0.4375,0.5,1.6875,1.5,0.7260150812799111,16.6875,0.9375,0.7260150812799111,0.7350893533478181,0.5899010002613068,sub-036,0
inactive,0.5,0.5,1.3125,1.5,0.6540299937769305,16.3125,0.875,0.6540299937769305,0.5854481286036649,1.1341030499897897,sub-036,0
active,0.3125,0.5,1.5625,1.5,1.0554507562483195,16.5625,0.6875,1.0554507562483195,1.0007880545559933,1.1757086999714375,sub-037,0
inactive,0.6875,0.5,1.4375,1.5,0.9554293249893817,16.4375,0.6875,0.9554293249893817,0.8980658454291354,1.0816289800219236,sub-037,0
active,0.375,0.5,1.375,1.5,0.926161850016797,16.375,0.75,0.926161850016797,0.9173735583511492,0.9525267250137404,sub-038,0
inactive,0.4375,0.5,1.625,1.5,0.9526478000261704,16.625,0.6875,0.9526478000261704,0.8958799363833598,1.0775371000403537,sub-038,0
active,0.5625,0.5,1.3125,1.5,0.816089956293581,16.3125,0.8125,0.816089956293581,0.8242601154264636,0.7806859333844235,sub-040,0
inactive,0.5625,0.5,1.6875,1.5,0.6573163000139175,16.6875,0.8125,0.6573163000139175,0.5983700461578197,0.9127500667236745,sub-040,0
active,0.5625,0.5,1.3125,1.5,0.6346813062264118,16.3125,0.9375,0.6346813062264118,0.6456168666481972,0.4706478998996317,sub-041,0
inactive,0.5,0.5,1.6875,1.5,0.6210742750263307,16.6875,0.875,0.6210742750263307,0.6021373357091632,0.753632850246504,sub-041,0
active,0.375,0.5,1.625,1.5,0.7803943437465932,16.625,0.5,0.7803943437465932,0.9296997750061564,0.63108891248703,sub-042,0
inactive,0.875,0.5,1.375,1.5,0.8463229749468155,16.375,0.625,0.8463229749468155,0.7412961499765516,1.021367683230589,sub-042,0
active,0.375,0.5,1.6875,1.5,0.5579746250296012,16.6875,0.75,0.5579746250296012,0.5333680583862588,0.6317943249596283,sub-043,0
inactive,0.3125,0.5,1.3125,1.5,0.6881503562035505,16.3125,0.5625,0.6881503562035505,0.6846731221820745,0.6926210856597338,sub-043,0
active,0.4,0.4666666666666667,1.4666666666666666,1.6,0.5107782133544485,16.066666666666666,0.8,0.5107782133544485,0.5529584250180051,0.3420573667002221,sub-044,0
inactive,0.375,0.5,1.5625,1.5,0.39376892495783977,16.5625,0.75,0.39376892495783977,0.4107235415916269,0.3429050750564783,sub-044,0
active,0.375,0.5,1.5,1.5,0.5677394687499202,16.5,0.75,0.5677394687499202,0.5982443416666001,0.4762248499998804,sub-045,0
inactive,0.4375,0.5,1.5,1.5,0.5895317687501063,16.5,0.9375,0.5895317687501063,0.5956508133334562,0.4977460999998584,sub-045,0
active,0.6875,0.5,1.5625,1.5,0.764622406255512,16.5625,0.8125,0.764622406255512,0.780695584620564,0.69497196667362,sub-046,0
inactive,0.5,0.5,1.4375,1.5,1.0816308312460023,16.4375,0.875,1.0816308312460023,1.0293089785679643,1.447883799992269,sub-046,0
active,0.6875,0.5,1.25,1.5,0.702270050001971,16.25,0.8125,0.702270050001971,0.7188250538490067,0.6305316999981491,sub-048,0
inactive,0.5625,0.5,1.75,1.5,0.5292725312501716,16.75,0.9375,0.5292725312501716,0.5251828133322609,0.5906183000188321,sub-048,0
active,0.375,0.5,1.75,1.5,0.9121075625080266,16.75,0.75,0.9121075625080266,0.8665183416742366,1.0488752250093967,sub-049,0
inactive,0.6875,0.5,1.25,1.5,1.1513255625177408,16.25,0.6875,1.1513255625177408,1.1546887909379704,1.1439264599932357,sub-049,0
active,0.375,0.5,1.75,1.5,1.5557353312469786,16.75,0.75,1.5557353312469786,1.4345519916775327,1.9192853499553166,sub-050,0
inactive,0.5,0.5,1.25,1.5,1.418423068782431,16.25,0.875,1.418423068782431,1.450862971467099,1.1913437499897555,sub-050,0
active,0.4375,0.5,1.3125,1.5,0.776008431244918,16.3125,0.5625,0.776008431244918,0.774149577770408,0.7783983857121451,sub-051,0
inactive,0.5,0.5,1.6875,1.5,0.898092568744687,16.6875,0.625,0.898092568744687,1.086616439995123,0.583886116660627,sub-051,0
active,0.125,0.5,1.625,1.5,0.930566999988514,16.625,0.625,0.930566999988514,0.911706139985472,0.9620017666602507,sub-053,0
inactive,0.3125,0.5,1.375,1.5,0.9121458937588613,16.375,0.6875,0.9121458937588613,0.9080448727208105,0.9211681400425732,sub-053,0
active,0.4375,0.5,1.5625,1.5,0.5038206937388168,16.5625,0.8125,0.5038206937388168,0.5058281461332137,0.4951217333630969,sub-055,0
inactive,0.5,0.5,1.4375,1.5,0.46549676249560434,16.4375,1.0,0.46549676249560434,0.46549676249560434,,sub-055,0
active,0.4375,0.5,1.375,1.5,1.2270566624792991,16.375,0.9375,1.2270566624792991,1.1759033733202766,1.9943559998646376,sub-058,0
inactive,0.5625,0.5,1.625,1.5,1.3694930937781464,16.625,0.9375,1.3694930937781464,1.383864933360989,1.1539155000355097,sub-058,0
active,0.4375,0.5,1.5,1.5,0.9814628124877345,16.5,0.9375,0.9814628124877345,0.9604024866285423,1.2973677003756166,sub-059,0
inactive,0.4375,0.5,1.5,1.5,0.728951543715084,16.5,0.9375,0.728951543715084,0.7107925266337891,1.0013367999345064,sub-059,0
active,0.4375,0.5,1.8125,1.5,1.319828437500064,16.8125,0.6875,1.319828437500064,1.1774515545455209,1.6330575800000589,sub-060,0
inactive,0.4375,0.5,1.1875,1.5,1.5102574625000784,16.1875,0.8125,1.5102574625000784,1.4396873153846872,1.8160614333334404,sub-060,0
active,0.25,0.5,1.5625,1.5,1.3018987875002495,16.5625,0.75,1.3018987875002495,1.2444348916615127,1.4742904750164598,sub-062,0
inactive,0.4375,0.5,1.4375,1.5,1.2304656437336234,16.4375,0.9375,1.2304656437336234,1.2231438599837323,1.3402923999819905,sub-062,0
active,0.875,0.5,1.5625,1.5,0.7331692750449292,16.5625,0.625,0.7331692750449292,0.620975990081206,0.9201580833178014,sub-063,0
inactive,0.75,0.5,1.4375,1.5,0.8199903499335051,16.4375,0.75,0.8199903499335051,0.7787717415873582,0.9436461749719456,sub-063,0
active,0.4375,0.5,1.5,1.5,0.7230862625000327,16.5,0.5625,0.7230862625000327,0.6039393555557682,0.8762751428569443,sub-064,0
inactive,0.625,0.5,1.5,1.5,0.8795697749999363,16.5,0.75,0.8795697749999363,0.8237687666666412,1.0469727999998213,sub-064,0
active,0.625,0.5,1.375,1.5,1.4277843500021845,16.375,0.625,1.4277843500021845,1.3626454799901695,1.536349133355543,sub-066,0
inactive,0.5,0.5,1.625,1.5,1.3531296437577112,16.625,0.625,1.3531296437577112,1.3519722800003364,1.3550585833533357,sub-066,0
active,0.6875,0.5,1.4375,1.5,1.2603649874872644,16.4375,0.8125,1.2603649874872644,1.1852294384466053,1.5859523666634534,sub-067,0
inactive,0.5625,0.5,1.5625,1.5,1.2596142937327386,16.5625,0.9375,1.2596142937327386,1.2489380599853273,1.419757799943909,sub-067,0
active,0.8125,0.5,1.6875,1.5,0.5823432187316939,16.6875,0.4375,0.5823432187316939,0.5656818999310157,0.5953020222433325,sub-069,0
inactive,0.625,0.5,1.3125,1.5,0.7039072812185623,16.3125,0.625,0.7039072812185623,0.7224189099855721,0.6730545666068792,sub-069,0
active,0.375,0.5,1.75,1.5,0.5990899187499394,16.75,0.875,0.5990899187499394,0.4249799214284654,1.8178599000002578,sub-072,0
inactive,0.5,0.5,1.25,1.5,0.5837430500000096,16.25,1.0,0.5837430500000096,0.5837430500000096,,sub-072,0
active,0.5,0.5,1.6875,1.5,0.5633274437350337,16.6875,0.375,0.5633274437350337,0.40775438332154107,0.6566712799831294,sub-073,0
inactive,0.5625,0.5,1.3125,1.5,0.6094729687538347,16.3125,0.6875,0.6094729687538347,0.6332591181747954,0.5571434400277212,sub-073,0
