Timestamp,  # Participant  ,Date (veuillez l'inscrire sous la forme jj-mm-aaaa),Quel est votre âge en années? ,Quel sexe vous a été assigné à la naissance? ,Quel est votre genre? ,Genre (si autre à la question précédente),À quelle ethnicité vous identifiez-vous (couchez tout ce qui s'applique)?,Ethnicité (si autre à la question précédente):,"Quel est le plus haut diplôme que vous avez obtenu (ou équivalent)?

Choisissez une seule réponse. ",Quelle est votre main dominante? 
1/31/2023 12:23:53,sub-001,31-01-2023,21,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
2/1/2023 10:23:01,002,01-02-2023,25,Féminin,Féminin,,"Blanc, Arabe",,CÉGEP/Collège/Technique,Droite
2/1/2023 15:27:39,003,01-02-2023,21,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
2/1/2023 18:47:16,004,01-02-2023,23,Masculin,Masculin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
2/1/2023 20:09:48,005,01-02-2023,32,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
2/2/2023 9:52:47,006,02-02-2023,21,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
2/2/2023 11:23:42,007,02-02-2023,22,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
2/2/2023 15:22:28,008,02-02-2023,21,Féminin,Féminin,,Blanc,,CÉGEP/Collège/Technique,Droite
2/3/2023 9:23:35,009,03-02-2023,30,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Ambidextre
2/3/2023 11:35:46,010,03-02-2023,23,Masculin,Masculin,,Première Nation/Métis/Inuk,,CÉGEP/Collège/Technique,Droite
2/3/2023 13:01:24,011,03-02-2023,21,Féminin,Féminin,,Blanc,,CÉGEP/Collège/Technique,Droite
2/3/2023 14:52:25,012,04-04-1985,37,Masculin,Masculin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
2/3/2023 16:26:19,013,03-02-2023,23,Masculin,Masculin,,Arabe,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
2/7/2023 17:41:09,14,07-02-2023,26,Masculin,Masculin,,Latino-Américain,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
2/8/2023 16:06:18,015,08-02-2023,21,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
2/14/2023 13:35:50,16,24-02-2023,19,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
3/7/2023 11:46:45,17,07-03-2023,21,Féminin,Féminin,,Blanc,,CÉGEP/Collège/Technique,Droite
3/10/2023 12:20:09,18,10-03-2023,25,Masculin,Masculin,,Arabe,,Secondaire/Professionnel,Droite
3/14/2023 11:59:10,019,14-03-2023,24,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
3/15/2023 15:06:08,020,15-03-2023,22,Masculin,Masculin,,"Blanc, Autre (précisez ci-dessous)",europeen et maghrebin,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
9/21/2023 10:53:04,sub-21,21-09-2023,24,Féminin,Féminin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
9/26/2023 18:16:57,sub-022,26-09-2023,24,Féminin,Féminin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
9/27/2023 16:57:56,sub-023,27-09-2023,21,Féminin,Féminin,,"Blanc, Asiatique du Sud-Est (p. ex. Vietnamien, Cambodgien, Laotien, Thaïlandais)",,CÉGEP/Collège/Technique,Gauche
9/28/2023 12:34:40,sub-024,16-01-2002,21,Féminin,Féminin,,Chinois,,CÉGEP/Collège/Technique,Droite
3/12/2024 15:08:09,sub-025,12-03-2024,20,Féminin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
3/21/2024 13:05:01,sub-026,21-03-2024,21,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Gauche
3/26/2024 14:38:34,sub-027,26-03-2024,22,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/15/2024 14:54:04,sub-028,15-04-2024,19,Masculin,Masculin,,Noir,,Secondaire/Professionnel,Droite
4/17/2024 16:30:58,sub-029,17-04-2024,25,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/23/2024 16:41:07,sub-030,23-04-2024,23,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
4/23/2024 18:02:08,sub-031,23-04-2024,24,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/24/2024 15:14:40,sub-032,24-04-204,26,Féminin,Féminin,,Noir,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 13:30:34,sub-033,29-04-2024,23,Féminin,Féminin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 15:35:49,sub-034,29 04 20224,23,Masculin,Masculin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 17:07:45,sub-035,29-04-2024,35,Féminin,Féminin,,Chinois,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
5/1/2024 10:18:22,sub-036,01-05-2024,20,Masculin,Masculin,,Noir,,Secondaire/Professionnel,Droite
5/1/2024 11:57:20,sub-037,01-05-2024,18,Féminin,Féminin,,Blanc,,Secondaire/Professionnel,Droite
5/1/2024 16:58:31,sub-038,01-05-2024,21,Féminin,Féminin,,Noir,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
5/6/2024 12:00:50,sub-039,06-05-2024,30,Féminin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
5/15/2024 10:12:44,sub-040,15-05-2024,27,Masculin,Masculin,,"Blanc, Latino-Américain",,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
5/29/2024 12:10:04,sub-041,29-05-2024,24,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
7/3/2024 9:02:50,sub-042,03-07-2024,25,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
10/11/2024 14:33:48,sub-043,11-10-2024,19,Féminin,Féminin,,Noir,,CÉGEP/Collège/Technique,Droite
10/18/2024 15:03:08,sub-044,18-10-2024,22,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
10/22/2024 14:40:15,sub-045,22-10-2024,23,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Gauche
12/16/2024 9:45:41,sub-046,16-12-2024,25,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
12/16/2024 14:19:39,sub-047,16-12-2024,21,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
12/16/2024 15:41:58,sub-048,16-12-2024,28,Masculin,Masculin,,Latino-Américain,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
12/16/2024 17:15:02,sub-049,16-12-2024,23,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
12/20/2024 12:31:42,sub-050,20 12 2024,23,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Gauche
3/5/2025 14:07:51,51,20-12-1996,28,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite